From,To,Similarity
PD55 4-cyl. turbo dies. eng. 2.0 l/75 kW (4V) TDI common rail base engine is TM3/TW3/TQ5,Sommerhjul,0.046
PG0C 5-speed manual transmission,Sentrallås,0.054
PH7V Tires 205/65 R 16 C 107/105 T,,0.0
"PN0A Fabric seat coverings ""Place""",Servostyring,0.051
PQG1 LongLife Service Regime,Servostyring,0.093
230Extra package&amp;&amp; EU-speciifc,Sentrallås,0.043
2G5BMW LA wheel&amp;&amp; turbine styling 428,Servostyring,0.059
"S591 BMW LA Wheel, Star Spoke 124",Startsperre,0.116
Meget behagelig bil å kjøre som sitter utrolig bra på veien.,Kjørecomputer,0.116
885On-board literature&amp;&amp; Swedish,Multifunksjonsratt,0.027
8LZCountry control Nordic 09090,Sentrallås,0.072
8R9Refrigerant R1234yf,Antispinn,0.051
8TGThiefproofing device,Isofix,0.098
9AAOuter skin protection,Kjørecomputer,0.075
BHGISTOFFKOMBI. NEUTRONIC/ARAGAZGRAU,,0.0
WB72IONIC SILVER MIT AKZENT BMW I BLAU,Sentrallås,0.035
DETTE ER ABSOLUTT ET KUPP FOR DEN SOM ØNSKER EN EL VAREBIL,Lettmet. felg sommer,0.114
GRATIS BOM,Antispinn,0.127
Dobble dører bak med mulighet for 180-graders åpning,Radio FM,0.095
2VBTyre pressure display,Antispinn,0.089
Laderkabel for vanlig stikkontakt,Klimaanlegg,0.072
Multimediaanlegg med berøringsskjerm,Klimaanlegg,0.312
Skyvedør på både høyre og venstre side,Antiskrens,0.056
Vindu i skyvedører og bakdører,El.vinduer,0.174
"Vinterhjul, alu m/piggdekk",Vinterhjul,0.581
S339 Shadow-Line,,0.0
"S415 Sun-Blind, Rear",El.vinduer,0.053
"S4M3 Interior Trim Strips, Alu Cube Pure",Vinterhjul,0.106
S540 Cruise Control,Sentrallås,0.065
853Language version&amp;&amp; English,,0.0
7RSPackage Comfort,Kjørecomputer,0.075
7AQBattery Certificate,Multifunksjonsratt,0.097
6APRemote Services,Servostyring,0.124
2VCTyre repair set,Airbag foran,0.099
428Warning triangle and first aid kit,Elektriske speil,0.04
430Interior/outside mirror with auto dip,Vinterhjul,0.102
442Drink holder,Servostyring,0.04
473Armrest front,Oppvarmede seter,0.055
493Storage compartment package,Kjørecomputer,0.116
494Seat heating driver/passenger,Sentrallås,0.057
4T9Heat pump,,0.0
4U7Rapid charging&amp;&amp; direct current,Startsperre,0.077
4U8Rapid charging&amp;&amp; alternating current,Startsperre,0.074
521Rain sensor,Sentrallås,0.078
534Automatic air conditioning,Airbag foran,0.086
544Dynamic cruise control,Sentrallås,0.049
548Kilometre speedo,Lettmet. felg vinter,0.058
570Reinforced power supply,Airbag foran,0.031
5DAPassenger airbag deactivation,Airbag foran,0.325
654DAB mottakermodul,,0.0
6ACIntelligent emergency call,Sentrallås,0.103
6AETeleservices,Servostyring,0.127
8G4 PDLS+ (INCL. MATRIX BEAM),Elektriske speil,0.052
"8JU LED main headlights in black with matrix beam, including Porsche Dynamic Light System Plus (PDLS Plus)",Elektriske speil,0.026
8LH Sport Chrono Package incl. mode switch,,0.0
Navigasjonssystem Plus,Multifunksjonsratt,0.13
Ford Sync 3,Airbag foran,0.07
Mørke vindu,El.vinduer,0.351
Nøkkelløs adkomst/ start,Startsperre,0.176
Euro 6 teknologi.,,0.0
"17"" alu rio",,0.0
Auto dim speil,Elektriske speil,0.351
Audi Sound System,,0.0
Audi Virtual Cockpit,,0.0
Interiør i aluminiumsfinish,Vinterhjul,0.118
S-Line delskinn,Antispinn,0.075
Fjernstyrt dieselvarmer,Oppvarmede seter,0.157
Stoff/skinn s line,Antispinn,0.06
Tak i kontrastfarge,Sentrallås,0.143
"18"" Lettmetallfelger 5-eiket",Lettmet. felg vinter,0.519
2019 årsmodell,,0.0
Forberedt MB-Link,Airbag foran,0.046
Kunstskinn ARTICO / Stoff Fléron indigo black / bahia brown,El.vinduer,0.031
Premium Plus-pakke,ABS-Bremser,0.067
Progressive,,0.0
Barnesikring av skyvedør,Servostyring,0.059
Ford Easy-fuel,Airbag foran,0.047
Automatisk avblendbart innv.speil,Elektriske speil,0.206
220 V strømuttak,,0.0
Stor stereo med subwoofer,Oppvarmede seter,0.068
Luftfjæring med nivåregulering og høydejustering (PASM),Servostyring,0.112
Mirrorlink Carplay,,0.0
PDLS+ Matrix Led lys,Elektriske speil,0.069
Sport Chrono,,0.0
Sport Chrono pluss,,0.0
"19 "" Aluminiumsfelger piggfritt",Lettmet. felg vinter,0.11
19 Aluminiumsfelger på sommerhjul,Sommerhjul,0.569
Autohold for bakkestart,Startsperre,0.186
Automatisk innfelbare sidespeil ved låsing,Elektriske speil,0.204
El.oppvarmet sidespeil,Oppvarmede seter,0.445
Elektrisk korsryggjustering førersete,Elektriske speil,0.334
Filskiftevarsler med filskifte assistanse,Oppvarmede seter,0.053
G-vectoring Control,Servostyring,0.064
Headup Display med farger,Antispinn,0.111
Innvendig LED lys,Antispinn,0.073
Knapp for å åpne bagasjerom,Airbag foran,0.151
Personlig innstilling nøkkel,Startsperre,0.065
Sport Modus,,0.0
Stor stereo med bose,Oppvarmede seter,0.098
Elektrisk skyvedør på høyre side,Elektriske speil,0.437
ILS lyspakke,,0.0
9R1 Night Vision Assist,,0.0
KA6 Umgebungskameras,Sommerhjul,0.041
Ski bag,Airbag foran,0.307
1BK Luftfederung,Oppvarmede seter,0.081
1XX Sportlederlenkrad mit Schaltwippen,Radio FM,0.081
2-Schicht-Perlcolor - Phantom Schwarz,Antispinn,0.043
4F2 Komfortschlüssel (Keyless Entry) mit Safesicherung,Sentrallås,0.064
8T4 Distanzregelung automatisch,Antispinn,0.059
9R1 Nachtsichtassistent,Sentrallås,0.039
Audi Exclusive,,0.0
Dobbel S-line utgave,,0.0
Panorama glasstak med full åpning,Airbag foran,0.066
Varmeapparat for passasjerrom,Oppvarmede seter,0.153
Skiboks med lasteholdere kan medfølge mot et pristillegg ( valgfritt ),Klimaanlegg,0.081
WS5 S line selection,Elektriske speil,0.06
1BY 4 Corner Luftfederung für Schlechtwegeausführung,Oppvarmede seter,0.041
1D4 Anhängevorrichtung mit schwenkbarem Kugelhals (werksseitig),ABS-Bremser,0.025
1XT Sportlederlenkrad heizbar mit Schaltwippen,Radio FM,0.073
3FU Panorama-Schiebedach elektrisch,Elektriske speil,0.236
4F2 Komfortschlüssel (Keyless Entry),Sentrallås,0.08
7X5 Parklenkassistent,Sentrallås,0.049
8T4 Geschwindigkeitsregelanlage/Distanzregelung automatisch,Klimaanlegg,0.038
Navigation package Connected Drive,,0.0
Innovation pack II,Antispinn,0.058
HiFi speaker system,Elektriske speil,0.068
Driving experience switch incl. ECO PRO,Kjørecomputer,0.071
Avansert parkeringshjelp,Servostyring,0.102
BLIS blindsonesensorer,Sentrallås,0.069
Cross trafikk-alert,Sentrallås,0.066
Homelink,,0.0
Intellisafe Pakke Inscription,Vinterhjul,0.09
Langlysautomatikk,,0.0
Pilot-assist,,0.0
Plusspakke,,0.0
Teknikkpakke Pro,,0.0
Volvo OnCall,Sentrallås,0.095
Led-hovedlys,,0.0
Solskjerm i bakseter,Oppvarmede seter,0.137
Safety Pack,,0.0
Navi,,0.0
Sommer/Vinterhjul,Sommerhjul,0.8
Ambient interior light,Vinterhjul,0.158
App tilkobling,Servostyring,0.029
"BMW LA wheel, M double spoke 351",,0.0
Comfort telephony w/ enhanced Smartphone,Kjørecomputer,0.045
GTS sportsseter foran og bak,Airbag foran,0.216
Bakakselstyring,Servostyring,0.31
Adaptiv Cruise Controll,Sentrallås,0.066
AVBILDET NY FELGPAKKE KAN MEDFØLGE MOT ET PRISTILLEGG ( VALGFRITT ),Klimaanlegg,0.085
1D4 Anhängevorrichtung schwenkbar (werksseitig),,0.0
2-Schicht-Uni - ibisweiss (Y9C),,0.0
2H9 Audi drive select,Elektriske speil,0.057
"4I7 Zentralverriegelung ""Keyless-Go"" ohne Safesicherung",Sentrallås,0.155
6I1 Spurhalteassistent,Sentrallås,0.043
7Y1 Spurwechselassistent,Sentrallås,0.04
8G4 Matrix-Beam,Elektriske speil,0.052
"8T8 Geschwindigkeitsregelanlage/Distanzregelung, automatisch/Speedlimiter",Klimaanlegg,0.065
9AQ Komfortklimaautomatik 3-Zonen,Klimaanlegg,0.249
Black-Black-Rock Gray/Black-Black,,0.0
"Radio med bluetooth, USB og Jack (analog)",Bluetooth,0.611
EL3 Connectivity Paket,,0.0
I8H MMI Navigation Plus,,0.0
IT1 Audi Connect,,0.0
KA2 Rückfahrkamera,Sommerhjul,0.047
"PCN Assistance package including Audi pre sense plus driver assistance package, tour",Startsperre,0.048
PXC Audi Matrix LED-Scheinwerfer,Elektriske speil,0.039
QQ2 Ambientebeleuchtung,Vinterhjul,0.04
YEB Proline Edition,,0.0
Lang Utgave.,,0.0
1BE Sportfahrwerk,,0.0
04H S line,,0.0
"Utsvingbart hengerfeste, opp til 2200 kg",Oppvarmede seter,0.059
Lys assistent,Sentrallås,0.098
9VL BOSE® Surround Sound system,,0.0
9WT Apple® CarPlay incl. Siri® voice control,Sentrallås,0.041
G1G 8-speed Tiptronic S with auto start/stop function and coasting,Startsperre,0.187
GZ2 Soft close doors,Isofix,0.148
JX1 Crossroad Assist,,0.0
KA6 Surround View,,0.0
PY1 Porsche InnoDrive including adaptive cruise control,Sentrallås,0.035
"Q1J Adaptive sports seats in front (18-way, electric) with integrated headrests and memory package",Vinterhjul,0.06
QJ4 Exterior package in black (high-gloss),Vinterhjul,0.023
QK1 MULTI-FUNCTION CAMERA,Multifunksjonsratt,0.378
QQ1 Ambient lighting,Sentrallås,0.053
QR9 Speed Limit Indicator,Klimaanlegg,0.069
QV3 Digital radio,Radio FM,0.485
QZ7 Power steering Plus,Servostyring,0.067
UX6 TPM Valve in Silver,,0.0
VC2 HomeLink® (programmable garage door opener),,0.0
VR4 SportDesign sideskirts,Startsperre,0.057
VW1 Privacy glass,,0.0
"1 eiers bil, solgt ny i Norge med fin km.stand",Startsperre,0.042
Loyds Gulv varerommet.,Lettmet. felg sommer,0.207
Lys og teknikkpakke.,,0.0
Parkeringssensor bak med ryggekamera.,Sentrallås,0.064
Sommerhjul 19'',Sommerhjul,1.0
Vinterpakke Ratt- og Vindusviskervarmer,Vinterhjul,0.225
2 Ladeledninger,Elektriske speil,0.06
360€ kamera,Sommerhjul,0.098
Blindsone Varsel,El.vinduer,0.069
El. Pedal,,0.0
N-Conecta,,0.0
Nissan Conect,,0.0
Pro Pilot,,0.0
275 Memory Package,,0.0
440   Cruise control (tempomat),Sentrallås,0.054
440  Cruise control,Sentrallås,0.073
489 Airmatic Luftfjæring,Airbag foran,0.09
"500  Speil utvendig, elektrisk innfelbare",Elektriske speil,0.505
628 Adaptive Highbeam Assist,,0.0
632 LED High Performance,Startsperre,0.075
7-trinns dobbelclutch automatgear,Elektriske speil,0.037
7G-Tronic,,0.0
808  2018 - Årsmodell,,0.0
Grå Aluminium - met lakk,Lettmet. felg vinter,0.088
Vinterhjul 19'',Vinterhjul,1.0
Ryggekamera og sidekamera,Sommerhjul,0.087
Vindu i høyre skyvedør.,El.vinduer,0.231
Premium Audio,Radio FM,0.192
Komfortvegg.,Klimaanlegg,0.087
Loyds gulv og kledning hjulkasser.,Vinterhjul,0.153
Lys &amp; Sikt Pakke.,,0.0
Setetrekk kustlær Mesh.,Oppvarmede seter,0.087
Sidehengslede bakdører med vindu.,El.vinduer,0.164
Elektrisk setejustering 6 veis,Elektriske speil,0.423
490km rekkevidde,,0.0
Autopilot 2.5,,0.0
CCS (hurtiglading),Radio FM,0.133
CCS Lade adapter,Vinterhjul,0.041
DAB+radio,Radio FM,0.635
Dual Motor AWD,,0.0
El.justerbare seter foran,Airbag foran,0.29
HomeLink garasjeportåpner,,0.0
Keyless entry&amp;go,Sentrallås,0.098
Luftfjæring med høydejustering,Servostyring,0.106
MCU 2 (Netflix og YouTube støttes bla.),,0.0
Multifunksjonsratt i skin,Multifunksjonsratt,0.957
Navigate on Autopilot,,0.0
"P6XN Exterior mirrors, electrically adjustable and heated",Elektriske speil,0.065
"P5Q2 Sliding door, left, in load/passenger compartment",Kjørecomputer,0.1
J0L Batteri 340A (70Ah) Brake Regeneration,Multifunksjonsratt,0.064
Ev mode,,0.0
Fjernopplåsing av tanklokket,Oppvarmede seter,0.054
Flate nedfellbare bakseter,Oppvarmede seter,0.113
Gjennomlastingsinnretning (bak midtarmlen),Startsperre,0.046
Interiør: Sølv interiørdekor,Vinterhjul,0.251
Isofix barnesetesystem,Isofix,0.554
Lydsystem: WMA / MP3-kompatibelt,Kjørecomputer,0.063
Type drift: permanent firehjulsdrift,Vinterhjul,0.12
Vehicle Dynamics Control (VDC),Sentrallås,0.05
Lastebøyler,,0.0
Reserve hjul,Vinterhjul,0.282
Kjøreassistentsystem: Parkeringsassistent,Kjørecomputer,0.107
Anodisert takskinner,ABS-Bremser,0.055
Bagasjegulv med aluminiumsskinner og festebraketter,Lettmet. felg vinter,0.063
Baksete sammenleggbart 1/3-2/3,Klimaanlegg,0.186
Buede lys,Oppvarmede seter,0.135
Engine Drag Torque Regulator (MSR),,0.0
Gir/velgerhåndtak skinn,Vinterhjul,0.088
Gulvlampe i sidespeilet,Elektriske speil,0.181
Håndfri telefon med Bluetooth,Bluetooth,0.624
Interiør: Mirage-innlegg (aluminiumsutseende),Klimaanlegg,0.143
Farge på støtfangeren,Antiskrens,0.105
Elektrisk servostyring,Servostyring,0.832
CD-veksler (6-plater),Vinterhjul,0.028
Bluetooth håndfrisett,Bluetooth,0.661
Innovasjonspakke Highline,Multifunksjonsratt,0.099
Park sensor foran/Bak,Airbag foran,0.226
Sportspakke Golf,Startsperre,0.209
"17"" vinterhjul med pigg",Vinterhjul,0.788
Motorvarmer montert,Oppvarmede seter,0.233
Flott velholdt med det meste av utstyr,Servostyring,0.116
6.6 KW ombordlader,,0.0
AUTOMATISK HASTIGHETSKONTROLL,Antiskrens,0.112
COSMO PLUSS PAKKE,,0.0
PARKERINGSASSISTENT FORAN/BAK,Airbag foran,0.174
Premiumpakke II,ABS-Bremser,0.073
RYGGEKAMERA/PARKERINGSHJELP,Servostyring,0.046
SKINNTRUKKET RATT M/VARME,Oppvarmede seter,0.172
SPORTS CHASSIS SENKET,Sentrallås,0.085
Bi-Xenon med LED kjørelys,Kjørecomputer,0.165
Oppvarmet vindu bak,Oppvarmede seter,0.602
AUX-IN-tilkobling,Antispinn,0.089
Automatisk lysbryter / lyssensor,Antiskrens,0.154
Bagasjeromsdeksel / rullegardin,Airbag foran,0.074
Kjøreassistentsystem: Automatisk tenning for kjørelys (kjørelysassistent),Kjørecomputer,0.226
Klimaanlegg Climatronic 2 soner,Klimaanlegg,0.753
Oppvarmet vindu,Oppvarmede seter,0.623
"*EMISSION SYSTEM,UNLEADED FUEL(EXPORT);",Klimaanlegg,0.059
*ACCENT STRIPE COLOR(DELETE),Elektriske speil,0.093
"*ANTENNA,POWER(CHROME)",Antispinn,0.061
"*BUMPER,FRONT AND REAR,SPORT",Startsperre,0.068
"*CARPET,FLOOR,CUSTOM; COMPONENT FRT LH",Kjørecomputer,0.101
"*CLUSTER,INSTRUMENT,MILES AND",Sentrallås,0.042
*COMPONENT FRT RH COMPUTER SEL SUSP (7YP),Kjørecomputer,0.459
"*CONSOLE,FRONT COMPARTMENT FLOOR",Kjørecomputer,0.13
"*COUNTRY,GERMANY; EMISSION SYSTEM,FEDERAL",Sentrallås,0.12
"*COVERING COLOR FLOOR MAT, LT GRAY *COVERING,FLOOR MATS,FRONT AND REAR,CARPETED",Servostyring,0.056
"*EXPORT - I.E.S. EXPORT I.E.S.; EXTERIOR *COLOR,PRIMARY,DARK POLO GREEN METALLIC *PLATE,VEHICLE IDENTIFICATION(EXPORT) *ORNAMENTATION,EXTERIOR,WINDSHIELD REVEAL",Sentrallås,0.053
"Korsryggstøtte, høyre foran sete",Airbag foran,0.169
"*GENERATOR,140 AMPERE; WINDOW,UNITED KINGDOM",Startsperre,0.044
*GOLD KEY PROGRAM - DELETE,Lettmet. felg vinter,0.1
"*GRILLE,RADIATOR(CHROME)",Radio FM,0.223
"*HEADLAMPS,RH RULE OF THE ROAD,(MARKED E)",,0.0
*HEATER - SEAT,Vinterhjul,0.052
*HOOD(STEEL); BRAKE SYSTEM(EUROPE)(EXPORT),,0.0
"*HOOK,FRONT TOW",,0.0
"*HORN,NOISE REGULATION",,0.0
"*HVAC SYSTEM AIR CONDITIONER FRT, AUTO TEMP",Airbag foran,0.083
*(TIRE ALL P225/60ZR16/N BL R/PE ST TL AL3),Sentrallås,0.053
Alcantara skinninteriør,Vinterhjul,0.142
Streaming for Spotify etc.,Multifunksjonsratt,0.074
Radar. Antikollisjonsystem.,Antispinn,0.147
"Korsryggstøttesete, foran venstre",Airbag foran,0.154
"Kromdekorfester (på bakluke, radiatorgrill og sidevinduer)",El.vinduer,0.257
"LM felger 7,5x17 (Callisto)",Lettmet. felg vinter,0.136
"Lydsystem Bolero (radio/CD Bluetooth/USB-grensesnitt, MP3-kompatibel)",Bluetooth,0.341
"Lysassistent (Coming Home, Leaving Home)",Kjørecomputer,0.053
MaxiDot-skjerm,,0.0
Oppbevaringsrom for paraply,Oppvarmede seter,0.098
Parkeringshjelp foran og bak,Airbag foran,0.179
Ratt (skinn 4 eiker),Multifunksjonsratt,0.13
Sidebeskyttelseslister med krominnlegg,Klimaanlegg,0.163
Surringsskinner i bagasjeromsgulvet (aluminium),Airbag foran,0.063
Tyverialarmsystem med innvendig overvåking og slepesikring,Servostyring,0.089
Utvendige speil med automatisk nedblending,Elektriske speil,0.187
Vannstandsindikator SRA / SWA,Multifunksjonsratt,0.075
Variabel bagasjeromsgulv,Airbag foran,0.082
Vindusspylerdyser oppvarmet,Oppvarmede seter,0.344
sentrallåssystem,Sentrallås,0.701
Nøkler:2 (sverdfjær er defekt på 1),Elektriske speil,0.052
Varsellampe på taket,Oppvarmede seter,0.057
Ergoactive sportsseter,Oppvarmede seter,0.109
Headlamp Levelling Type,Servostyring,0.023
"P5CL Roof trim in cab as comfort headliner, in load compartment with hardboard",Kjørecomputer,0.125
030D floor board: with (2-step hard deck),,0.0
700A LEATHER COMBINATION,Kjørecomputer,0.062
952 SPORTS PACKAGE,Startsperre,0.088
B12 WHEEL REPLACEMENT TOOL,Bluetooth,0.091
M640 R4 DIESEL ENGINE OM640,,0.0
U18 AUTOMATIC CHILD SEAT RECOGNITATION,Kjørecomputer,0.142
U37 FOGLAMP,,0.0
U57 EASY VARIO SYSTEM PLUS,Oppvarmede seter,0.054
U62 ILLUMINATION PACKAGE,,0.0
009B Fensterheber vorn elektrisch,Elektriske speil,0.272
032C Zentralverriegelung,Sentrallås,0.221
Eco Start/Stopp funksjon,Multifunksjonsratt,0.347
033B spare wheel cover: with,,0.0
034E glove box: without lamp,,0.0
038B Rückfahrkamera,Sommerhjul,0.045
043C Navigationssystem,Multifunksjonsratt,0.044
047B Sitze vorn heizbar,,0.0
070J power door lock: driver only,,0.0
110C rear wheel brake: d203lt,,0.0
"118D audio (overseas mkt): cd-t with bt Disp 6sp, Bluetooth, 6 Lautsprecher",Bluetooth,0.408
2-Schicht-Metallic - Ultra Silver,Lettmet. felg vinter,0.124
"573 CHILD SEAT MOUNTING, ISOFIX IN REAR",Isofix,0.477
"570 FOLDING ARMREST, FRONT",Oppvarmede seter,0.057
486 SPORTS SUSPENSION,Startsperre,0.134
441 VITAL SENSOR ON STEERING WHEEL,Sentrallås,0.072
Motorkode CDNC/BGB/BWT,,0.0
"PES spare wheel with full-size tyre, alloy, 17""/18""",Sentrallås,0.162
PQD S line exterior package (quattro GmbH),Multifunksjonsratt,0.034
"PQG cast aluminium alloy wheels, 8Jx18, 5-arm design, with 235/40 R",Sentrallås,0.047
PU3 light and rain sensor with coming home/ lea,Sentrallås,0.065
Q1D Sportsseter foran Premium,Airbag foran,0.179
QQ1 Med ekstra lykter (innvendig belysning),Sentrallås,0.057
QV0 Forbedelse TV-mottaker/ digital radiomottaker,Radio FM,0.211
"T61 4-syl. bensinmotor 2,0L aggr. 06D.1",Antiskrens,0.04
"U1A Instrumentinnsats med KM/H, klokke turteller og trippteller",Antispinn,0.077
V0A Dekk spesifisering av dekkmerke,Servostyring,0.086
VC0 Garasjeportåpner,,0.0
WQT S line sports package for export (quattro GmbH),Startsperre,0.05
Oppvarmet felt for viskere,Oppvarmede seter,0.501
RS felgar sommer.,Lettmet. felg sommer,0.56
191U KOSMOSBLACK - MET.,Lettmet. felg vinter,0.055
"25R 17"" LIGHT ALLOY WHEEL 10-SPOKE DESIGN ALL-ROUND",Sentrallås,0.107
417 LAMELLAR ROOF,,0.0
426 8-SPEED AUTOMATIC DUAL-CLUTCH GEARBOX,Elektriske speil,0.037
TRIM CODE - FE11,Elektriske speil,0.066
Kjørelys Automatisk,Kjørecomputer,0.195
Design Høy intens,Vinterhjul,0.174
"Sete, passasjer høydejusterbart",Oppvarmede seter,0.115
"Førersete og pass.sete med korsryggstøtte og sidestøtte, armlene bak",Oppvarmede seter,0.172
"Helskinn, sort",Antispinn,0.078
JBL HiFi anlegg,Klimaanlegg,0.423
"Kartleserlampe og kupélys, lys dørterskel, sminkespeil m lys pass side, duftspreder",Elektriske speil,0.15
"Lys hallogenpære, man høydejust av hovedlys",Sentrallås,0.057
"Midtarmlene foran, teppe bagrom",Airbag foran,0.233
Radio fjernbetjening ved rattet,Radio FM,0.348
"Ratt, skinntrukket med metall dekor, samt girspak kule i skinn",Sentrallås,0.088
"Sete bak, to faste seter",Oppvarmede seter,0.295
"Sidevinduer bak ekstra farget, bakvindu ekstra farget og el-oppvarmet",El.vinduer,0.309
Lakkert deksel over baklamper,Startsperre,0.069
"Sikkerhetsseler foran med strammere, blokkere og varsellyd",Sommerhjul,0.137
Solskjerm for fører og passasjer foran,Airbag foran,0.206
"Støtfangere sport kar.farget, krom eksosrørhale, kar.farget sidespeil og dørhåndtak",Elektriske speil,0.085
Vindstopper,El.vinduer,0.147
"Vinduspusser, intervall og 2 hastigheter",Vinterhjul,0.188
"WIP Nav, RNEG Telematikk, navigasjon og Bluetooth",Bluetooth,0.498
EU TIL MAI 2025,,0.0
Klimakontroll med 2 soner,Klimaanlegg,0.249
Radio/Cd,Radio FM,0.603
Førersete og pass.sete med korsryggstøtte og sidestøtte,Oppvarmede seter,0.148
Dekktrykksensor for lavt trykk eller punktering,Sentrallås,0.045
"Cabriolet i stål, elektrisk betjent",Elektriske speil,0.348
Blå Ipanema - met lakk,Lettmet. felg vinter,0.079
Oppbevaringsluke over frontrute,Oppvarmede seter,0.099
Sidespeil lakkert i bilens farge,Elektriske speil,0.199
Støtfanger lakkert,,0.0
Støtlister på sidene,Vinterhjul,0.038
Ute-temperatur-måler,Startsperre,0.069
Montert Defa smart start,Startsperre,0.249
H FESTE,,0.0
PARKSESNSORER,,0.0
"18"" sommerhjul",Sommerhjul,1.0
Defa motor- og kupevarmer,Oppvarmede seter,0.177
LED lys i lasterommet,Lettmet. felg sommer,0.28
Defa motor varmer,Oppvarmede seter,0.229
"""kjøper fraskriver seg retten til å gjøre mangler gjeldende etter kjøpsloven § 19""",Lettmet. felg vinter,0.087
REAR PARKING ASSIST,Servostyring,0.031
EU TIL FEBRUAR 2025,,0.0
M-SPORT,,0.0
EU TIL JAN 2026,,0.0
"Akustikk, forbedret",Airbag foran,0.041
Bi-Xenon frontlys og svingbare hovedlykter,Vinterhjul,0.072
*INTERIOR TRIM LT GRAY,Vinterhjul,0.189
"*LABEL - SHIPPING, EXCEPT US, US POSSESSIONS, OR",Antispinn,0.092
*LAMP CORNERING---DELETE,Lettmet. felg vinter,0.095
Handsfreeopplegg,Klimaanlegg,0.135
R-Design sportspedaler,Startsperre,0.238
SIPS kollisjonsputer,Kjørecomputer,0.175
"Skinntruket multifunksjon, HIGH performance stereo",Multifunksjonsratt,0.453
Tillegsvarmer,Oppvarmede seter,0.201
JBL stereo-anlegg,Klimaanlegg,0.339
Adaptive Cruise Control ACC,Sentrallås,0.062
Alufelg 6.5J x 16,Lettmet. felg vinter,0.203
City Emergency Brake,Sommerhjul,0.06
Front Assist inkl. City-nødbremsfunksjon,Multifunksjonsratt,0.238
AUX/USB tilkobling,Servostyring,0.022
Radio / CD,Radio FM,1.0
Delt Baksete,Oppvarmede seter,0.154
El-Speil,Elektriske speil,0.356
Klimaanlegg m/ AC,Klimaanlegg,1.0
skiluke,,0.0
12volts kontakt,,0.0
Auto hold (håndbrekk funksjon),Multifunksjonsratt,0.319
Fører assistanse pakke,Startsperre,0.067
Tretthets varsling,Lettmet. felg vinter,0.087
Klima for kalde soner (OY3),Klimaanlegg,0.249
R-Design girspakhode,,0.0
IDIS intelligent driver information system,Vinterhjul,0.094
Dual-Xenon lys,,0.0
DSTC dynamic stability traction control,Sentrallås,0.1
digital radio receiption,Radio FM,0.353
17t alufelg,Lettmet. felg vinter,0.203
Airbag pass med bryter,Airbag foran,0.493
ESP (Antiskrens),Antiskrens,0.937
El.setejust.,Oppvarmede seter,0.127
El.speiljustering,Elektriske speil,0.218
Fj. sentrallås,Sentrallås,1.0
Airbager,Airbag foran,0.704
Alcantara/skinn,Antispinn,0.135
Avblendbart innv.speil,Elektriske speil,0.186
Startssperre,Startsperre,0.767
Høydejusterbare kjørelys,Kjørecomputer,0.181
BT Streaming,Servostyring,0.036
Ladeledning:1,Elektriske speil,0.056
"Vinterhjul,med pigg",Vinterhjul,0.628
DSTC,,0.0
Vindavvisere,El.vinduer,0.119
"Klima-anlegg automatisk, flere soner",Klimaanlegg,0.685
Armlene m/koppholder,Oppvarmede seter,0.125
Oppvarmede speil &amp; seter,Oppvarmede seter,0.84
Varerom innredning,Antispinn,0.056
"*LAMP,FRONT FOG(USED WITH TOURING YP6) *LAMP,INTERIOR,HIGH LEVEL STOP(DELETE)(EXPORT) *LICENSE PLATE,FRONT MOUNTING PACKAGE EEC *LICENSE PLATE,REAR MOUNTING PACKAGE(EXPORT) *MIRROR O/S LH &amp; RH, REM CONT, ELEC, DEFOG, TINTED",Lettmet. felg vinter,0.084
P4GF Heat-insulating compound glass windshield,Kjørecomputer,0.092
"P2JB Bumper (plastic), gray",Startsperre,0.064
P2P1 Plastic loading edge protection,Radio FM,0.1
P2V1 Dust and pollen filter,Vinterhjul,0.03
P3J6 Head restraints (height-adjustable) withleatherette covering,Lettmet. felg vinter,0.067
P3L1 Height adjustment for left separate seatin cab,Lettmet. felg vinter,0.064
P3RC Tailgate with window aperture,Startsperre,0.053
"P3SJ Front passenger double bench seat in cab, right",Sentrallås,0.053
P3YQ Door stowage boxes with 2 trays each andintegrated bottle holders in cab doors,Vinterhjul,0.054
"P4A1 Seat heater for left cab seat, controllable",Sentrallås,0.039
"P4HS Rear window (standard glass, heated) with wiper and washer system",Startsperre,0.078
Webasto m/timer &amp; kjørevarmer,Oppvarmede seter,0.151
"P4JT Window, front, and closed side panel, rear, in load/passenger compartment, right",Kjørecomputer,0.087
P4K3 Central locking system,Sentrallås,0.286
"P4L2 Breakaway interior rearview mirror, dimming",Vinterhjul,0.086
P4R1 Power windows,El.vinduer,0.053
P4S2 Armrests for left seat in cab,Oppvarmede seter,0.05
"P4SA Sun visor without vanity mirror, in cab,left",Isofix,0.098
"P4TA Sun visor without vanity mirror, in cab,right",Isofix,0.096
"P4UF Air bags for driver and front passenger,seat-belt tensioners, left and right andfront passenger air bag deactivation",Airbag foran,0.186
P5AC Rubber floor covering in cab,Servostyring,0.048
P1N1 Power steering with safety steering column (steering wheel adjustable in height and length),Servostyring,0.08
"P1D1 Rigid trailer hitch, (in combination with ESP incl. trailer roll stability program)",Sentrallås,0.068
"P1AK Electronic stabilizationi programme (ESP) with brake assistant, ABS/ASR, EDLand hill hold control",ABS-Bremser,0.057
