,From,To,Similarity
13625,803 yom x2/1,,0.0
13626,803 yom 12/1,,0.0
13627,5b1 additional stowage boxes/trays in center console,air condition,0.229
13628,5b1 additional stowage boxes/trays in center conso,air condition,0.237
13629,2s0 package - multimedia/digital content,multifunksjonsratt,0.14
13630,2s0 package - multimedia / digital content,multifunksjonsratt,0.152
13631,oppbevaring- og bagasjeromspakke,beltevarsler,0.105
13632,oppbevaring og bagasjeromspakke,beltevarsler,0.105
13633,auto. klimaanlegg 2-sone,klimaanlegg,0.802
13634,au. klimaanlegg fire-sone,klimaanlegg,0.72
13635,"aut. klimaanlegg, 2-sone",klimaanlegg,0.82
13636,led kupelys,xenonlys,0.08
13637,led kupe lys,xenonlys,0.104
13638,lane following assist,cruisekontroll,0.059
13639,lfa - lane following assist,cruisekontroll,0.054
13640,relaxion-seter for fører- og passasjersete,skinnseter,0.259
13641,premium relaxion-seter fører- og passasjersete,skinnseter,0.239
13642,støydemping i frontrute,antispinn,0.136
13643,støydempene frontrute,fjernstyrt sentrallås,0.095
13644,led hovedlys med intelligente fjernlys,xenonlys,0.19
13645,bi led hovedlys med intelligente fjernlys,xenonlys,0.19
13646,power-adjustable lumbar support in front seats,radio fm,0.102
13647,power-adjustable lumbar support in frontseats,radio fm,0.097
13648,kjøreassistentsystem: autopilot 2.5,kjørecomputer,0.139
13649,kjøreassistentsystem: autopilot,kjørecomputer,0.139
13650,2zh heated steering wheel,parkeringsensor bak,0.105
13651,rt02 heated steering wheel,parkeringsensor bak,0.092
13652,2zh f heated steering wheel,parkeringsensor bak,0.105
13653,heated steering wheel,parkeringsensor bak,0.119
13654,"1lb22"" aero. w. 1021 multi. 3d gloss",multifunksjonsratt,0.151
13655,"22"" aero. w. 1021 multi. 3d gloss",multifunksjonsratt,0.201
13656,høy og lavgir,,0.0
13657,høy og lav gir,,0.0
13658,- høy og lavgir,,0.0
13659,p5c0 without special body measures,elektriske speil,0.04
13660,p5c0  without special body measures,elektriske speil,0.04
13661,5c0 l ksa without special body measures,elektriske speil,0.041
13662,without special body measures,elektriske speil,0.045
13663,volvooncall m/p2p sharing,sentrallås,0.057
13664,volvo on call m/p2p sharing,sentrallås,0.071
13665,mmi® navigation plus,navigasjonssystem,0.371
13666,mmi navigation plus,navigasjonssystem,0.371
13667,pnq mmi® navigation plus,navigasjonssystem,0.322
13668,sportsseter med justerbar nakkestøtte,oppvarmede seter,0.169
13669,sportsseter med justerbart sidestøtte,regulerbart ratt,0.216
13670,ambiente interiør belysning,skinninteriør,0.378
13671,ambient interiør belysning,skinninteriør,0.346
13672,highline utgave,,0.0
13673,highline utgave.,,0.0
13674,track mode,sentrallås,0.138
13675,track modus,sentrallås,0.117
13676,p8q3 dynamic headlight range control (self-adjusting while driving),cruisekontroll,0.097
13677,dynamic headlight range control (self-adjusting while driving),cruisekontroll,0.105
13678,skinn macchiato beige/ space grey,skinnseter,0.164
13679,nappaskinn macchiato beige / space grey,skinnseter,0.148
13680,889 nøkkelløs gå,sentrallås,0.204
13681,889 nøkkelløs go,sentrallås,0.204
13682,4m5 bmw individual skinntrukket dashbord,skinnseter,0.155
13683,4m5 - bmw individual skinntrukket dashboard,skinnseter,0.153
13684,individual skinntrukket dashbord,skinnseter,0.164
13685,04hc värmekomfortpaket,cruisekontroll,0.079
13686,04hb värmekomfortpaket fram,cruisekontroll,0.074
13687,headlight cleaning system,navigasjonssystem,0.15
13688,headlight cleaning system (s502a),navigasjonssystem,0.122
13689,euro 6 teknologi,,0.0
13690,euro 6 teknologi.,,0.0
13691,elektriske justerbare bakseter,elektriske speil,0.508
13692,elektrisk justerbare bakseter,elektrisk sete m. memory,0.454
13693,02pa wheel bolt retainer,metallic lakk,0.093
13694,wheel bolt retainer,metallic lakk,0.109
13695,colour black-sapphire metallic (475),metallic lakk,0.349
13696,colour black-sapphire metallic,metallic lakk,0.36
13697,513 trafikkskiltgjenkjenning,skinninteriør,0.186
13698,513 trafikkskiltgenkjenning,skinninteriør,0.193
13699,650a stoff/skinnimitasjon/mikrofiber,skinninteriør,0.193
13700,600a stoff / skinnimitasjon / mikrofiber,skinninteriør,0.222
13701,600a stoff/lærimitasjon/mikrofiber,isofix,0.084
13702,p0k3 hybrid propulsion system phev,navigasjonssystem,0.099
13703,hybrid propulsion system phev,navigasjonssystem,0.111
13704,p1vh installation parts for six-cylinder engine,startsperre,0.106
13705,installation parts for six-cylinder engine,startsperre,0.117
13706,p1sj additional front underbody guard,air condition,0.243
13707,p1sb additional front underbody guard,air condition,0.243
13708,interior trimstrips&amp;&amp; carbon fibre,skinninteriør,0.116
13709,4mc interior trimstrips&amp;&amp; carbon fibre,skinninteriør,0.111
13710,p2p1 plastic loading edge protection,radio fm,0.105
13711,p2p1 loading edge protection,radio fm,0.116
13712,plastic loading edge protection,radio fm,0.119
13713,roof rails in black aluminium,takrails,0.339
13714,roof rails in aluminium,takrails,0.37
13715,"9b6 charging cable mode 3 (type 2, 3x32a, 22 kw) 5m",parkeringsensor bak,0.017
13716,"charging cable mode 3 (type 2, 3x16a, 11 kw) 5m",parkeringsensor bak,0.018
13717,"9b6 charging cable mode 3 (type 2, 3x32a, 22 kw)",parkeringsensor bak,0.017
13718,p6v1 rear trim panel (ece),elektriske speil,0.049
13719,rear trim panel (ece),elektriske speil,0.067
13720,0407 panoramaglastak sky lounge,takrails,0.06
13721,407 panorama-glastak sky lounge,takrails,0.063
13722,407 panoramatak sky lounge,takrails,0.071
13723,300 kollisjonsdemping (cms),navigasjonssystem,0.119
13724,kollisjonsdemping (cms),navigasjonssystem,0.124
13725,42a interior application clear &amp; bold,skinninteriør,0.145
13726,interior application clear &amp; bold,skinninteriør,0.154
13727,dynamic package plus,sideairbager,0.066
13728,rs dynamic package plus,sideairbager,0.066
13729,u60 fotgangerbeskyttelse - aktiv motorhette,aux-inngang,0.121
13730,u60 fotgjengerbeskyttelse - aktiv motorhette,lettmet. felg vinter,0.055
13731,røde bremsecalipere,abs-bremser,0.285
13732,røde bremsecaliper,abs-bremser,0.293
13733,røde bremsecalippere,abs-bremser,0.269
13734,passasjersete fremme med vektsensor,regnsensor,0.217
13735,passasjersete med vektsensor,regnsensor,0.245
13736,u01 statusindikasjon bakre belte,beltevarsler,0.185
13737,status indikasjon på bakre belter,beltevarsler,0.205
13738,"k11 adaptivt bremselys, blinkende",abs-bremser,0.237
13739,"k11 adaptive bremser, blinkende",abs-bremser,0.303
13740,456 komfortseter fram elektris justerbart,elektrisk sete m. memory,0.328
13741,456 - komfortseter fram elektris justerbart,elektrisk sete m. memory,0.328
13742,el. justerbar førerstol med minne,regulerbart ratt,0.209
13743,el.justerbar førerstol med minne,regulerbart ratt,0.182
13744,879 german / on-board documentation,air condition,0.072
13745,german / on-board documentation,air condition,0.076
13746,danish / on-board documentation,air condition,0.074
13747,801 germany version,sideairbager,0.057
13748,germany version,sideairbager,0.064
13749,2tb sport automatic transmission,sentrallås,0.067
13750,2tb     sport automatic transmission,sentrallås,0.067
13751,sport automatic transmission,sentrallås,0.071
13752,677 hifi system proffesional dsp,cd-spiller,0.134
13753,677 hifi system professional dsp,cd-spiller,0.137
13754,4dl accentlister svart høyglans,oppvarmede seter,0.064
13755,04dl accentlister svart högglansig,oppvarmede seter,0.055
13756,utvidet bmw online-informasjon,xenonlys,0.116
13757,utvidet bmw online informasjon,xenonlys,0.127
13758,615 utvidet bmw online informasjon,xenonlys,0.118
13759,musikkgrensesnitt for smarttelefon,antiskrens,0.104
13760,s6nf musikkgrensesnitt for smarttelefon,antiskrens,0.097
13761,6nf musikkgrensesnitt for smartphones,antiskrens,0.1
13762,bluetooth connectivity,bluetooth,0.692
13763,bluetooth connection,bluetooth,0.777
13764,s3ap windscreen with grey wedge,handsfree opplegg,0.113
13765,windscreen with grey wedge,handsfree opplegg,0.127
13766,rear central head restraint,sentrallås,0.396
13767,with rear center head restraint,vinterdekk,0.144
13768,ratt (sport/skinn) med multifunksjon,multifunksjonsratt,0.692
13769,"ratt (sport/skinn, 3 eiker) med multifunksjon",multifunksjonsratt,0.634
13770,s6nl connection bluetooth + usb devices incl.,bluetooth,0.541
13771,6nl connection bluetooth + usb devices incl.,bluetooth,0.562
13772,connection bluetooth + usb devices incl.,bluetooth,0.597
13773,p1pe wheel bolts with anti-theft protection (unlockable),antispinn,0.098
13774,p1pd wheel bolts with anti-theft protection (unlockable),antispinn,0.097
13775,"robust setetrekk ""marathon""",skinnseter,0.083
13776,robust setetrekk marathon,skinnseter,0.083
13777,3ahreversing camera and top view,ryggekamera,0.155
13778,s3ah reversing camera and top view,ryggekamera,0.163
13779,reversing camera and top view,ryggekamera,0.189
13780,self-levelling suspension,diesel-partikkelfilter,0.108
13781,s220 self-levelling suspension,diesel-partikkelfilter,0.096
13782,"3,2 tonn totalvekt lang bil",metallic lakk,0.069
13783,3.2 tonn totalvekt lang bil,metallic lakk,0.069
13784,s7xa m leather st.wheel+shiftpaddle+multif.,multifunksjonsratt,0.149
13785,m leather st.wheel+shiftpaddle+multif.,multifunksjonsratt,0.161
13786,8spcontrol unit co2,cruisekontroll,0.17
13787,8sp control unit co2,cruisekontroll,0.211
13788,drivers seat: power adjustable driver's seat with memory.,elektrisk sete m. memory,0.238
13789,ni02 drivers seat power adjustable drivers seat with memory,elektrisk sete m. memory,0.222
13790,"ra03 chassie type chassi 3, dynamic",,0.0
13791,"ra03 chassie type chassi 3, dynamisk",elektriske speil,0.037
13792,ra03 chassis type chassis dynamic,,0.0
13793,t304 decal trimlevel summum trim level 3,midtarmlene,0.062
13794,t304 decal trimlevel summum trimnivå 3,midtarmlene,0.065
13795,isofix - outer position rear seat,isofix,0.549
13796,0072 isofix - outer position rear seat,isofix,0.476
13797,"headlight washer, low flow",,0.0
13798,"jg04 headlight washer, low flow",,0.0
13799,"trailer module: trailer module 13-pos socket, semi-el retractable towbar.",takrails,0.189
13800,"2a04 trailer module trailer module 13-pos socket, semi-el retractable towbar",takrails,0.181
13801,dødvinkelassistent,vinterdekk,0.07
13802,"dødvinkelassistent,",vinterdekk,0.07
13803,dødvinkel assistent,vinterdekk,0.078
13804,blis dødvinkel assistent,vinterdekk,0.072
13805,automatisk barnesetegjenkjenning,skinninteriør,0.145
13806,u18 automatisk barnesetegjenkjenning,skinninteriør,0.139
13807,u18 automatisk barnesetegjenkjenning (akse),skinninteriør,0.135
13808,alcantara sportsinteriør,skinninteriør,0.265
13809,alcantar sports interiør,skinninteriør,0.305
13810,s5ad lane departure warning,parkeringsensor bak,0.062
13811,5adlane departure warning,parkeringsensor bak,0.061
13812,sideassist,sideairbager,0.373
13813,side-assist,sideairbager,0.373
13814,"ombordlitteratur, tysk",skinnratt,0.055
13815,"bordlitteratur, tysk",skinnratt,0.06
13816,adaptiv frontlight system,navigasjonssystem,0.158
13817,adaptive frontlight system,navigasjonssystem,0.155
13818,adaptive front-lighting system,navigasjonssystem,0.139
13819,afs - adaptive front lightning system,navigasjonssystem,0.133
13820,europe/dealer directory,sideairbager,0.104
13821,863 europe/dealer directory,sideairbager,0.099
13822,08aw on-board literature,skinnratt,0.058
13823,0879 on-board literature,skinnratt,0.056
13824,801 yom x0/1,,0.0
13825,801 yom 20/1,,0.0
13826,oelwartungsint. 30.000km/24monate,parkeringsensor bak,0.031
13827,s8kaa oelwartungsint 30000km24monate,parkeringsensor bak,0.029
13828,258 active brake assist system,navigasjonssystem,0.163
13829,ba3 active brake assist system,navigasjonssystem,0.156
13830,258 - active brake assist system,navigasjonssystem,0.163
13831,87n fabrikkkontrollkode,cruisekontroll,0.225
13832,nab fabrikkontrollkode,cruisekontroll,0.235
13833,59n fabrikkkontrollkode,cruisekontroll,0.223
13834,jvo fabrikkontrollkode,cruisekontroll,0.237
13835,6vccontrol&amp;&amp; combox,cruisekontroll,0.124
13836,6vc control&amp;&amp; combox,cruisekontroll,0.144
13837,201a skinn - svart/antrasitt,skinnseter,0.205
13838,skinn svart/antrasitt,skinnseter,0.234
13839,dieselvarmer m/fjernstyring,fjernstyrt sentrallås,0.398
13840,dieselvarmer med fjernstyring,fjernstyrt sentrallås,0.412
13841,interior lighting in footwell,skinninteriør,0.143
13842,p6t1 interior light in footwell,skinninteriør,0.133
13843,p6sm textile luggage compartment lining,kjørecomputer,0.101
13844,p6sf textile luggage compartment lining,kjørecomputer,0.1
13845,bluemotion versjon,bluetooth,0.213
13846,bluemotion version,bluetooth,0.211
13847,p4r4 power windows,el.vinduer,0.052
13848,p4r1 power windows,el.vinduer,0.051
13849,"p8sp led rear combination lamps, dark red",air condition,0.076
13850,"p8sq led rear combination lamps, dark red",air condition,0.074
13851,476 automatic lane recognition,air condition,0.172
13852,476 autom. lane recognition,air condition,0.185
13853,j5a dsm: star1 fbs4 update,startsperre,0.102
13854,dsm: star1 fbs3 update,startsperre,0.109
13855,"p8s6 interior lights with switch-off delay and dimmer, 2 led reading lights each in front and rear",skinninteriør,0.085
13856,"p8s4 interior lights with switch-off delay and dimmer, 2 reading lights in front and rear",skinninteriør,0.088
13857,"vea gen 2, euro 6d",,0.0
13858,"vea gen 2, euro 6d pse",,0.0
13859,"painted bumper, r-design",vinterdekk,0.207
13860,"painted bumper, r-design.",vinterdekk,0.207
13861,"navigation system ""high""",navigasjonssystem,0.533
13862,navigation system high,navigasjonssystem,0.533
13863,p7ug navigation system - high,navigasjonssystem,0.418
13864,quattro firehjulsdrift,vinterhjul,0.161
13865,quattro firehjulsdrift 4x4,vinterhjul,0.154
13866,"keyless access, nøkkelfri åpning og låsing, og startknapp",diesel-partikkelfilter,0.125
13867,keyless access nøkkelfri åpning og låsing med startknapp,diesel-partikkelfilter,0.125
13868,"p4x4 side airbags a. seat belt pretensioners f. outer rear seats, incl. side airbags in front and curtain airbag system",airbag foran side,0.579
13869,"p4x4 side airbags for outer rear seats, incl.side airbags in front and curtain airbagsystem",airbag foran side,0.582
13870,"p4un airbag on driver and front passenger side, knee airbag on driver side, with front passenger airbag deactivation",airbag foran side,0.545
13871,"p4uh airbag on driver and front passenger side, knee airbag on driver side, w/o front passenger airbag deactivation",airbag foran side,0.549
13872,"hengerfeste, opp til 3000 kg",oppvarmede seter,0.082
13873,hengerfeste opp til 3000 kg,oppvarmede seter,0.082
13874,p3zu 3-point seat belts in rear incl. seat belt pretensioners for the outer seats,beltevarsler,0.159
13875,p3zu 3-point seat belts in rear incl. seat belt pretensioner for the outer seats,beltevarsler,0.16
13876,0049 intelligent driver information system (idis),navigasjonssystem,0.112
13877,intelligent driver information system (idis).,navigasjonssystem,0.125
13878,p3ga folding luggage compartment floor,kjørecomputer,0.102
13879,p3ga luggage compartment floor,kjørecomputer,0.111
13880,multifunction sites driver &amp; beif,multifunksjonsratt,0.328
13881,4fm multifunction sites driver &amp; beif,multifunksjonsratt,0.311
13882,"p3d3 decorative inserts ""piano black"" for center console",regnsensor,0.107
13883,"p3d2 decorative inserts ""piano black"" for center console",regnsensor,0.107
13884,s4dz interieurleisten pearl dunkel,skinninteriør,0.116
13885,04dz interieurleisten pearl dunkel,skinninteriør,0.116
13886,oppvarmet multifunksjonsratt i skinn medtouch kontroll,multifunksjonsratt,0.65
13887,oppvarmet multifunksjonsratt i skinn med touch kontroll,multifunksjonsratt,0.701
13888,trådløs appconnect/apple carplay,handsfree opplegg,0.128
13889,trådløs app connect/apple carplay,handsfree opplegg,0.139
13890,appstyring av varmer,servostyring,0.358
13891,appstyring av varme,servostyring,0.368
13892,*app styring av varmer,servostyring,0.442
13893,ppe3 easy open package without safelock,lettmet. felg vinter,0.049
13894,ppe1 easy open package without safelock,lettmet. felg vinter,0.049
13895,ppw9 parking heater and ventilation with radio remote control and timer,radio fm,0.278
13896,pw9 parking heater and ventilation with radio pw9 remote control and timer park heater,radio fm,0.229
13897,pwha parking heater and ventilation with radio remote control and timer,radio fm,0.277
13898,501 parkeringsassistent med 360 -kamera,parkeringsensor bak,0.345
13899,-parkeringsassistent med 360 kamera,parkeringsensor bak,0.372
13900,aktiv parkeringsassistent med 360`kamera,parkeringsensor bak,0.298
13901,stemmestyringssystem,servostyring,0.285
13902,qh0 stemmestyringssystem,servostyring,0.259
13903,enderørsdeksel for eksosanlegget,klimaanlegg,0.216
13904,b16 enderørsdeksel for eksosanlegget,klimaanlegg,0.206
13905,led hovedlys m/aut blend.,midtarmlene,0.076
13906,led hovedlys m/aut blend,midtarmlene,0.076
13907,alufelg sommer/vinter,lettmet. felg sommer,0.452
13908,*alufelger sommer/vinter,lettmet. felg sommer,0.425
13909,apple carplay og mirrorlink,handsfree opplegg,0.161
13910,apple carplay / mirror link,handsfree opplegg,0.18
13911,220a leather,,0.0
13912,210a leather,,0.0
13913,704 m sportsunderstell,startsperre,0.067
13914,704 m-sportsunderstell,startsperre,0.064
13915,s4lv black high-gloss accent korall-rot,sentrallås,0.185
13916,black high-gloss accent korall-rot,sentrallås,0.208
13917,08wq styrning g,servostyring,0.181
13918,08wh styrning c,servostyring,0.18
13919,"pui2 external, aux-in jack, usb type a, 2x usb socket",aux-inngang,0.289
13920,"pui4 external, aux-in jack, usb type a, 1x usb socket",aux-inngang,0.288
13921,pqr9 with dynamic road sign display,antispinn,0.087
13922,without dynamic road sign display,antispinn,0.092
13923,01ld bmw light-alloy wheel aerodynamic 1020,metallic lakk,0.094
13924,01ldbmw light-alloy wheel aerodynamic 1020,metallic lakk,0.087
13925,0f2 bensininnsprøytning,skinnseter,0.14
13926,1a5 bensininnsprøytning,skinnseter,0.14
13927,08y5 special control wiring harness,cruisekontroll,0.129
13928,s8y5 special control wiring harness,cruisekontroll,0.129
13929,el.ratt,skinnratt,0.189
13930,el. ratt,skinnratt,0.435
13931,bakspoiler adaptivt utvidbar (2-veis),regulerbart ratt,0.074
13932,bakspoiler adaptivt utvidbar (4-veis),regulerbart ratt,0.074
13933,porsche communications management (pcm) inkludert online navigasjonsmodul,navigasjonssystem,0.313
13934,porsche communications management (pcm) inkludert dvd-navigasjonsmodul,navigasjonssystem,0.303
13935,porsche communications management (pcm) inkl. dvd-navigasjonsmodul (utvidet),navigasjonssystem,0.303
13936,sport chrono-pakke,lakkerte utvendige speil,0.085
13937,sport chrono-pakke),lakkerte utvendige speil,0.085
13938,body type coupe,,0.0
13939,body type  coupe,,0.0
13940,xo9 mercedes-benz mobilovan with dsb and rust-th.warr.,oppvarmede seter,0.049
13941,xo7 mercedes-benz mobilo with dsb and rust-th.warranty,oppvarmede seter,0.049
13942,-amg-performance seat,startsperre,0.069
13943,amg-performance seat,startsperre,0.069
13944,555 amg-performance seat,startsperre,0.064
13945,"business pack (8,4 touchscreen navigasjon og bluetooth tlf.system med audio-streaming, parkeringssensor foran og bak)",bluetooth,0.353
13946,"business pack (8,4"" touchscreen navigasjon og bluetooth tlf.system med audiostreaming, parksensor foran og bak)",bluetooth,0.361
13947,"cold weather pack (varme i forseter, varme i bakseter, 4-soners klima, oppvarmede lyktespylerdyser)",oppvarmede seter,0.539
13948,"cold weather pack (varme i for- og bakseter, 4-soners klima, oppvarmede lyktespyler dyser)",oppvarmede seter,0.47
13949,413 panorama-takluke,takrails,0.073
13950,413 panorama-tak,takrails,0.087
13951,"premium pack (keyless easy entry, elektrisk justerbar rattstamme, bi-xenon hovedlys med lyktespylere, elektrisk justerbare pedaler, sotede og støyreduserende bakruter, baklukesensor, homelink integrert garasjeportåpner)",elektriske speil,0.241
13952,"premium pack (keyless easy entry, elektrisk justerbar rattstamme, bi-xenon hovedlys med lyktespylere, elektrisk justerbare pedaler, sotede og støyreduserende bakruter, homelink integrert garasjeportåpner)",elektriske speil,0.25
13953,"w54 rear-end doors, double-wing, opening to side wall",airbag foran side,0.091
13954,"w54 rear doors, double-wing, opening to side wall",airbag foran side,0.095
13955,6cp apple carplay forberedelse,handsfree opplegg,0.15
13956,6cp apple carplay forberedelser,handsfree opplegg,0.148
13957,06cp apple carplay forberedt,handsfree opplegg,0.146
13958,lb1 side marking lights,airbag foran side,0.15
13959,lb1 side marker lights,parkeringsensor bak,0.203
13960,j65 outside temperature indicator,airbag foran side,0.105
13961,j65 temperature indicator,air condition,0.069
13962,"aluf. 22"" 5d-ek black/dc",vinterdekk,0.096
13963,"luf. 22"" 5d-ek black/dc",vinterdekk,0.099
13964,homelink (garasje åpner),navigasjonssystem,0.048
13965,homelink garasjeåpner,navigasjonssystem,0.042
13966,summer tyres,sommerdekk,0.178
13967,summer tires,sommerdekk,0.172
13968,v43 wood floor,,0.0
13969,v43 wood flooring,parkeringsensor bak,0.063
13970,comfort driver seat,kjørecomputer,0.091
13971,sb1 comfort driver seat,kjørecomputer,0.075
13972,s5dv remote-controlled parking,cruisekontroll,0.191
13973,remote-controlled parking,cruisekontroll,0.226
13974,driver air bag,airbag foran,0.372
13975,driver's air bag,airbag foran,0.351
13976,m-sport eksteriør,skinninteriør,0.242
13977,m sport eksteriør,skinninteriør,0.275
13978,ultra hi-fi lydpakke,lakkerte utvendige speil,0.08
13979,ultra hi-fi lyd,sentrallås,0.105
13980,nedfellbar bakseterygg 40/60,ryggekamera,0.145
13981,nedfellbare bakseter 40/60%,skinnseter,0.12
13982,nedfellbar bakseterygg (40/60),ryggekamera,0.145
13983,er02 clean zone interior package,skinninteriør,0.151
13984,clean zone interior package,skinninteriør,0.181
13985,adaptiv luftfjæring med nivåregulering inkl. porsche active suspension management (pasm),regulerbart ratt,0.227
13986,luftfjæring med nivåregulering inkl. porsche active suspension management (pasm),regulerbart ratt,0.237
13987,mobiltelefonforberedelse,pollenfilter,0.129
13988,telefonforberedelse,oppvarmede seter,0.079
13989,mobiltelefonforberedelse med,pollenfilter,0.127
13990,adaptive frontlight system (afs) + sbl,navigasjonssystem,0.133
13991,adaptive frontlight system (afs system),navigasjonssystem,0.243
13992,adaptive frontlight system + sbl,navigasjonssystem,0.143
13993,h73 dekorelementer - karbon høyglans,vinterdekk,0.134
13994,dekorelementer - karbon høyglans,vinterdekk,0.144
13995,4kf sotede vinduer bak b-stolpen,el.vinduer,0.352
13996,• 4kf sotede vinduer bak b-stolpen,el.vinduer,0.352
13997,"pu5a instrument cluster, km/h speedometer",lettmet. felg vinter,0.083
13998,"instrument cluster, km/h speedometer",lettmet. felg vinter,0.094
13999,3-soners klimaautomatikk,klimaanlegg,0.319
14000,4nb 4-soners klimaautomatikk,klimaanlegg,0.303
14001,pny0 standard battery/alternator capacity,pollenfilter,0.073
14002,standard battery/alternator capacity,pollenfilter,0.08
14003,amg-specific iwc-design analogue clock,elektriske speil,0.033
14004,246 amg-specific iwc-design analogue clock,elektriske speil,0.032
14005,takrails i sort pianolakk,takrails,0.621
14006,takrails 3i sort pianolakk,takrails,0.621
14007,3fu panoramasoltak i glass,takrails,0.068
14008,• 3fu panoramasoltak i glass,takrails,0.068
14009,2zh oppvarmbar rattkrans,oppvarmede seter,0.318
14010,• 2zh oppvarmbar rattkrans,oppvarmede seter,0.318
14011,641 frontlykt led dynamisk venstrekjøring,parkeringsensor bak,0.084
14012,64x frontlykt led dynamisk venstrekjøring,parkeringsensor bak,0.083
14013,skinn/nappa/semianilin,skinnseter,0.179
14014,810a skinn/nappa/semianilin,skinnseter,0.164
14015,fast hengerfeste,sideairbager,0.063
14016,- fast hengerfeste,sideairbager,0.063
14017,s04ls alum.brushed lengthw.acc.chrm.perlglanz,startsperre,0.035
14018,04ls alum.brushed lengthw.acc.chrm.perlglanz,startsperre,0.036
14019,10-trinns automatkasse,skinnseter,0.157
14020,10 trinns automatkasse,skinnseter,0.194
14021,ea02 ptc varmeelement i klimaanlegget,klimaanlegg,0.552
14022,ptc varmeelement i klimaanlegget,klimaanlegg,0.615
14023,p50 cabriolet komfortpakke,lettmet. felg vinter,0.076
14024,p50 cabriolet comfort package,lettmet. felg vinter,0.078
14025,amg spoilerleppe i sort  høyglans,regnsensor,0.054
14026,amg spoilerleppe i sort høyglans,regnsensor,0.054
14027,3u1 headunit europe/cis-states/monoglei,startsperre,0.03
14028,ih1 headunit europe/cis-states/monoglei,startsperre,0.03
14029,8u8 i-size barnesetefeste,skinnseter,0.089
14030,i-size barnesetefeste,skinnseter,0.096
14031,362 kommunikasjonsmodul (lte) for bruk av mercedes me connect-tjenester,navigasjonssystem,0.118
14032,362 kommunikasjonsmodul  for bruk av mercedes me connect-tjenester,navigasjonssystem,0.119
14033,abs (anti-lock braking system),antispinn,0.165
14034,abs brakes (anti-lock braking system),antispinn,0.132
14035,abs-bremser (antilock braking system),abs-bremser,0.667
14036,400 km wltp,,0.0
14037,500 km wltp,,0.0
14038,sort alcantara trukket tak,takrails,0.074
14039,lyst alcantara trukket tak,takrails,0.074
14040,"3a2 assembly, actuators (three wheels)",handsfree opplegg,0.061
14041,"- assembly, actuators (three wheels)",handsfree opplegg,0.065
14042,luftfjæring hev/senk,parkeringsensor bak,0.101
14043,luftfjøring med hev/senk,parkeringsensor bak,0.1
14044,a025 oil offset quantity + 250gr oil,antispinn,0.111
14045,a035 oil offset quantity +350gr oil,antispinn,0.11
14046,plusspakke,lakkerte utvendige speil,0.107
14047,pluspakke,lakkerte utvendige speil,0.124
14048,xtra lys,sentrallås,0.158
14049,extra lys,sentrallås,0.136
14050,u60 fotgjengerbeskyttelse - aktiverer panser,skinnseter,0.076
14051,u60 fotgjengerbeskyttelse - aktiver panser,skinnseter,0.078
14052,elektrisk lukkehjelp for venstre skyvedør,elektriske speil,0.299
14053,elektrisk lukkehjelp for høyre skyvedør,elektriske speil,0.306
14054,eberspächer - parkeringsvarmer,parkeringsensor bak,0.313
14055,eberspächer parkerings varmer,parkeringsensor bak,0.333
14056,464 instrumentpaneldisplay m,antispinn,0.084
14057,458 instrumentpaneldisplay s,antispinn,0.083
14058,"772 amg styling - frontspoiler, sideskjørt",airbag foran side,0.103
14059,"772 amg-styling - frontspoiler, sideskjørt",airbag foran side,0.096
14060,setetrekk / trekk: leather milano,vinterdekk,0.146
14061,setetrekk / trekk: leather passion,vinterdekk,0.156
14062,sonnenschutzverglasung,antiskrens,0.04
14063,420 sonnenschutzverglasung,antiskrens,0.038
14064,420 sonnenschutzverglasung hinten,vinterdekk,0.066
14065,49u mbux entertainment inkl. video-streaming,servostyring,0.091
14066,mbux entertainment inkl videostrømming,servostyring,0.093
14067,alcantara/stoff seter,skinnseter,0.134
14068,alcantara / stoff seter.,skinnseter,0.145
14069,"99b aktiv justerbar demping ""normal åpen""",regulerbart ratt,0.151
14070,"99b aktiv justerbar demping ""normally open""",regulerbart ratt,0.14
14071,"99b aktiv justerbar demping ""normalt åpent""",regulerbart ratt,0.145
14072,heated rear window,el.vinduer,0.071
14073,with heated rear window,el.vinduer,0.065
14074,s6u9 bmw touch command,sommerdekk,0.083
14075,6u9 bmw touch command,sommerdekk,0.09
14076,276 automatic anti-dazzle interior mirror,skinninteriør,0.115
14077,automatic anti-dazzle interior mirror,skinninteriør,0.121
14078,"sensus connect hp 7""",regnsensor,0.15
14079,"sensus connect hp 9""",regnsensor,0.15
14080,42u projeksjonsfunksjon over fronlykt - symboler,multifunksjonsratt,0.288
14081,42u projeksjonsfunksjon via frontlys-symboler,multifunksjonsratt,0.283
14082,rs eksteriør,skinninteriør,0.326
14083,svr eksteriør,skinninteriør,0.238
14084,elektrisk rullegardin på bakrute,elektriske speil,0.335
14085,elektrisk rullegardin for bakrute,elektriske speil,0.332
14086,interactive driver display,vinterdekk,0.135
14087,"12,3"" interactive driver display",vinterdekk,0.128
14088,sport crono,,0.0
14089,sport chrono),,0.0
14090,0td gulvmatter,regulerbart ratt,0.175
14091,• 0td gulvmatter,regulerbart ratt,0.175
14092,utvidet sikkerhetssystem (precrash basic og rear),navigasjonssystem,0.156
14093,utvidet sikkerhetssystem (precrash basic),navigasjonssystem,0.16
14094,carbon fibre,abs-bremser,0.091
14095,carbon fiber,,0.0
14096,kjøle boks,,0.0
